id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,mae,mse,r2,rmse
openml.org/t/59,iris,TPOT,0,0.084915,local,0.9.6,,stable,2019-09-16T05:06:58,64.0,199,375302358,,0.933333,,0.084915,,,,
openml.org/t/59,iris,TPOT,1,0.00387049,local,0.9.6,,stable,2019-09-16T05:08:01,62.8,158,375302359,,1.0,,0.00387049,,,,
openml.org/t/3913,kc2,TPOT,0,0.872294,local,0.9.6,,stable,2019-09-16T05:09:11,61.5,168,375302358,,0.792453,0.872294,,,,,
openml.org/t/3913,kc2,TPOT,1,0.884199,local,0.9.6,,stable,2019-09-16T05:10:13,62.4,110,375302359,,0.886792,0.884199,,,,,
openml.org/t/59,iris,H2OAutoML,0,0.0235113,local,3.24.0.1,,stable,2019-09-16T05:29:25,64.1,38,468982427,,1.0,,0.0235113,,,,
openml.org/t/59,iris,H2OAutoML,1,0.00999017,local,3.24.0.1,,stable,2019-09-16T05:30:34,63.5,41,468982428,,1.0,,0.00999017,,,,
openml.org/t/3913,kc2,H2OAutoML,0,0.857143,local,3.24.0.1,,stable,2019-09-16T05:31:45,66.0,45,468982427,,0.830189,0.857143,,,,,
openml.org/t/3913,kc2,H2OAutoML,1,0.890693,local,3.24.0.1,,stable,2019-09-16T05:32:56,65.0,43,468982428,,0.886792,0.890693,,,,,
openml.org/t/59,iris,autosklearn,0,,local,0.5.1,,stable,2019-09-16T05:42:58,57.8,,3863285556,AttributeError: 'NoneType' object has no attribute 'get_models_with_weights',,,,,,,
openml.org/t/59,iris,autosklearn,1,,local,0.5.1,,stable,2019-09-16T05:43:52,54.8,,3863285557,AttributeError: 'NoneType' object has no attribute 'get_models_with_weights',,,,,,,
openml.org/t/3913,kc2,autosklearn,0,,local,0.5.1,,stable,2019-09-16T05:44:48,55.6,,3863285556,AttributeError: 'NoneType' object has no attribute 'get_models_with_weights',,,,,,,
openml.org/t/3913,kc2,autosklearn,1,,local,0.5.1,,stable,2019-09-16T05:45:44,56.0,,3863285557,AttributeError: 'NoneType' object has no attribute 'get_models_with_weights',,,,,,,
openml.org/t/59,iris,hyperoptsklearn,0,2.30259,local,0.0.3,{'max_evals': 1000},stable,2019-09-16T05:58:19,60.0,74,2359217971,,0.933333,,2.30259,,,,
openml.org/t/59,iris,hyperoptsklearn,1,6.90776,local,0.0.3,{'max_evals': 1000},stable,2019-09-16T05:59:19,60.1,109,2359217972,,0.8,,6.90776,,,,
openml.org/t/3913,kc2,hyperoptsklearn,0,0.72619,local,0.0.3,{'max_evals': 1000},stable,2019-09-16T06:00:20,60.1,2,2359217971,,0.566038,0.72619,,,,,
